model,beta,n_char,p,q,sigma_max,sigma_min,label,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.110,2.6415396364406227,0.24460260033065054,0.7124757874286309,0.537756190570986,0.268878095285493,0.35623789371431547,0.32100000000000506
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.111,2.8841739166060862,0.27748194846009855,0.7729701018309054,0.5430026690468631,0.27150133452343156,0.3864850509154527,0.3439999999999941
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.112,3.1603775316649654,0.30576336745478966,0.8257444902123308,0.5438056995826519,0.27190284979132595,0.4128722451061654,0.5210000000000008
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.113,3.029053364690008,0.2729396658429575,0.7593871129102373,0.5233415939168,0.2616707969584,0.37969355645511865,0.2950000000000017
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.114,2.8757234875739033,0.27981282866123386,0.7898255362765073,0.544722589717813,0.2723612948589065,0.39491276813825366,0.2879999999999967
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.115,2.5457153479666497,0.23254396569980199,0.6813937566141456,0.5129399907566993,0.25646999537834964,0.3406968783070728,0.2910000000000039
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.116,2.4697760149106136,0.21803670633409006,0.6558028153015318,0.5239818830193903,0.26199094150969515,0.3279014076507659,0.2920000000000016
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.117,2.726671584634295,0.26062184861160986,0.7300948669835476,0.5354810809980071,0.26774054049900353,0.3650474334917738,0.2809999999999988
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.118,2.6665901372348313,0.24415697836866962,0.7238910003946459,0.5334271546518962,0.2667135773259481,0.36194550019732297,0.28300000000000125
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.119,2.6091712116710895,0.2511076683228927,0.6984517527048836,0.5082140561616032,0.2541070280808016,0.3492258763524418,0.2979999999999947
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.120,2.7001085552056105,0.24024276509716566,0.7252939358227422,0.5287283978374779,0.26436419891873897,0.3626469679113711,0.2890000000000015
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.121,2.4370662665217973,0.20452957445282438,0.6511906022465594,0.5200580796564848,0.2600290398282424,0.3255953011232797,0.2700000000000031
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.122,2.6567809987224953,0.23753902763620133,0.675840057203513,0.4999485797470081,0.24997428987350406,0.3379200286017565,0.2819999999999965
