name,label,n,q,mm,gamma1,sigma_min,sigma_max,Method,Draw,mse_loss_shannon,time
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.91,4.389065058027655,27.076999999999316
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.92,4.955887689161011,26.681000000000495
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.93,4.4083962456889685,26.13000000000102
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.94,4.067550056083899,27.079999999999927
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.95,4.188007386003829,26.30999999999949
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.96,4.335194073718665,27.44499999999971
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.97,4.965164311537299,26.04399999999987
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.98,4.917422094982657,26.846999999999753
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.99,5.080647697259184,26.57799999999952
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.100,5.099380229321267,27.90100000000166
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.1,5.072198056967762,26.424999999999272
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.2,5.868615861530442,26.106000000001586
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.3,5.988614460914346,26.51800000000003
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.4,4.806836403612215,26.110999999998967
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.5,4.227359192434872,26.514000000001033
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.6,4.289224622311061,26.213999999999942
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.7,5.196551393353174,26.436999999999898
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.8,4.902167562155858,26.148999999999432
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.9,5.016810032502902,26.439000000000306
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.10,4.527972736959858,26.213999999999942
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.11,4.945923370673441,26.384000000000015
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.12,5.092640551269423,26.18499999999949
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.13,4.971693651438291,26.381999999999607
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-quad,r1.14,5.501946539708403,26.19300000000112
