model,beta,n,p,q_char,sigma_max,sigma_min,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.50,8.57055520812812,0.42551671256465423,1.041124569480329,0.6478601064862238,0.3239300532431119,0.5205622847401645,0.09299999999999997
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.51,8.855218714400849,0.4676026810059317,1.0758604015498232,0.6642768253893401,0.33213841269467004,0.5379302007749116,0.08799999999999919
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.52,7.4374536872584525,0.3424421890201489,0.8809462117493905,0.6374458525555615,0.31872292627778076,0.44047310587469524,0.09500000000000064
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.53,9.059057493442106,0.4992444653074554,1.1348823757062843,0.6501471169083203,0.32507355845416014,0.5674411878531421,0.10200000000000031
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.54,9.239234986055896,0.5125713444287678,1.1705486556680784,0.6594651885971958,0.3297325942985979,0.5852743278340392,0.09600000000000009
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.55,8.541278103904707,0.4093453391585168,0.9999379781574669,0.6540564901675958,0.3270282450837979,0.49996898907873344,0.08899999999999864
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.56,10.093071768248292,0.6151514019488442,1.2597246962653745,0.6554738801895983,0.32773694009479915,0.6298623481326873,0.09500000000000064
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.57,9.89545271810941,0.5752230275926814,1.2362606473213353,0.6559670737547012,0.3279835368773506,0.6181303236606677,0.08999999999999986
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.58,9.030159142014943,0.4876920742470135,1.092309367450007,0.642413304836112,0.321206652418056,0.5461546837250035,0.0730000000000004
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.59,7.679876817037735,0.3393730429688103,0.8949817366027788,0.6344847179818224,0.3172423589909112,0.4474908683013894,0.07199999999999918
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.60,9.085798479883646,0.49083816642040623,1.125128517545926,0.6644494580771337,0.33222472903856687,0.562564258772963,0.0860000000000003
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.61,7.648312110475272,0.2920798803618903,0.8558940514914877,0.6465349785893311,0.32326748929466553,0.42794702574574384,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.62,7.325608432960382,0.2999108994149342,0.8221185420197101,0.6312532471475084,0.3156266235737542,0.41105927100985507,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.63,8.882253659070678,0.48005478797274037,1.07232186414853,0.6475362080906061,0.32376810404530304,0.536160932074265,0.07200000000000095
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.64,9.592115850124799,0.5418538175787063,1.1620317554614013,0.6454069457069808,0.3227034728534904,0.5810158777307006,0.07900000000000063
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.65,8.866154781886898,0.4723548162843496,1.093637913754494,0.6513858677245173,0.32569293386225867,0.546818956877247,0.07099999999999973
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.66,8.885319377761528,0.49180974584488985,1.096526946020469,0.6554851986494583,0.32774259932472916,0.5482634730102345,0.07699999999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.67,8.113137103518852,0.39630706866147164,0.9740884102049886,0.6409096208283565,0.3204548104141782,0.4870442051024943,0.07299999999999862
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.68,8.89719822933802,0.4868431973254823,1.1023502262444462,0.6565748451265331,0.32828742256326654,0.5511751131222231,0.07900000000000063
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.69,9.078866648543196,0.4720696460795995,1.09923243302401,0.6548879672462424,0.3274439836231212,0.549616216512005,0.07200000000000095
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.70,7.9005486765962,0.3754890008678677,0.9555323915876663,0.6422698678438312,0.3211349339219156,0.47776619579383317,0.07199999999999918
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.71,9.15748652840091,0.5042935403333315,1.1126638160193119,0.6637292326444906,0.3318646163222453,0.5563319080096559,0.07500000000000107
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.72,8.191416528299262,0.3831361855171596,0.9880334778236327,0.6531343162102892,0.3265671581051446,0.49401673891181636,0.07899999999999885
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.73,8.483840657307237,0.431915767626651,1.0374341624514212,0.6351811093028641,0.31759055465143204,0.5187170812257106,0.07200000000000095
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.74,9.540371963197696,0.5155814342788152,1.151613783066458,0.6496096285726044,0.3248048142863022,0.575806891533229,0.0730000000000004
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.75,9.931097602990022,0.5702853420662735,1.2561952216678294,0.6653896600216824,0.3326948300108412,0.6280976108339147,0.07199999999999918
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.76,9.162287858091043,0.4680715460265549,1.079093674814307,0.6352206093642606,0.3176103046821303,0.5395468374071535,0.10800000000000054
