name,label,n,sigma_max,sigma_min,p,q,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.64,0.6530333493677647,0.04052257623330825,0.08355886966624024,0.058977799448748876,0.029488899724374438,0.04177943483312012,1.0829999999999984
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.65,0.28413885892541196,0.022273778022564885,0.0971796682653165,0.12821711804531943,0.06410855902265972,0.04858983413265825,1.3490000000000038
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.66,0.21154820762128235,0.012196369841872189,0.05302496855566248,0.061558958199093454,0.030779479099546727,0.02651248427783124,1.1129999999999995
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.67,0.11423788299181147,0.005902106398511739,0.032034830416188376,0.048846430499050346,0.024423215249525173,0.016017415208094188,1.100999999999999
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.68,0.3175341705972474,0.019385114169077722,0.033250914933813214,0.042230413293399605,0.021115206646699802,0.016625457466906607,1.1289999999999907
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.69,0.23978022074728178,0.011393522340166749,0.07807156377742024,0.10446823626265442,0.05223411813132721,0.03903578188871012,1.095000000000013
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.70,0.6936498719083957,0.032694450697294826,0.0761566341878997,0.0971305968454217,0.04856529842271085,0.03807831709394985,1.073999999999998
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.71,0.40432365012201466,0.021807117531464974,0.060111810404029506,0.08610943319822698,0.04305471659911349,0.030055905202014753,1.1159999999999997
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.72,1.266193454989879,0.15137912235965284,0.2404081242624935,0.15955732132482328,0.07977866066241164,0.12020406213124675,1.097999999999999
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.73,0.9236838990122727,0.08035427159876647,0.12023433149238943,0.07769433000737544,0.03884716500368772,0.06011716574619472,1.2920000000000016
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.74,0.1990966186902951,0.004949383974547768,0.027435123804173286,0.05815843525713872,0.02907921762856936,0.013717561902086643,1.11399999999999
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.75,0.09447550843254299,0.004027588479647864,0.01181871134623007,0.03201995586504813,0.016009977932524067,0.005909355673115035,1.0820000000000078
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.76,0.8361495417000848,0.04316923690276059,0.03291079307852772,0.015041898183880499,0.0075209490919402495,0.01645539653926386,1.1099999999999994
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.77,1.0867697902905877,0.054907519391272884,0.1728125472887502,0.19229127854195663,0.09614563927097831,0.0864062736443751,1.1020000000000039
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.78,0.12236316579644439,0.006452829204612451,0.058320201758472724,0.11611396760662344,0.05805698380331172,0.029160100879236362,1.1119999999999948
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.79,0.5067314429705336,0.026588593108675812,0.06686500655545916,0.10877319409541818,0.05438659704770909,0.03343250327772958,1.0769999999999982
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.80,1.5761270804526417,0.18848601087567907,0.20390680676746287,0.11814815291348764,0.05907407645674382,0.10195340338373143,1.2930000000000064
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.81,0.7197187561476676,0.04039324629694029,0.10014132553620879,0.1207621179481671,0.06038105897408355,0.050070662768104394,1.0820000000000078
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.82,0.18452247654845866,0.006623818066405782,0.06605718959253153,0.1271240276007052,0.0635620138003526,0.03302859479626576,1.0609999999999928
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.83,0.1702076122021029,0.0039119215285123785,0.012434353445660096,0.0157625523996025,0.00788127619980125,0.006217176722830048,1.070999999999998
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_10/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 10)",20,10,0.01,2,20,100000,1,divnet,r1.84,0.4562864826928348,0.02348176196522788,0.08532784671381122,0.13496067817123053,0.06748033908561527,0.04266392335690561,1.0790000000000077
